doc_id,topic_00,topic_01,topic_02,topic_03,topic_04
0,0.8833626,-0.40110675,0.15181491,0.070640184,-0.17534578
1,0.8828353,-0.3253738,-0.11066092,-0.27640086,0.16152512
2,0.891992,-0.17717092,0.4067921,-0.011365653,0.08574246
3,0.8748141,-0.28901905,-0.3193269,-0.16622487,0.14685956
4,0.88832253,-0.25760046,-0.31015992,-0.19038866,0.10990068
5,0.8888311,-0.25501093,-0.3106515,-0.19151814,0.10846759
6,0.92493963,0.29684865,-0.1696749,0.15060686,-0.06996728
7,0.8057317,0.2689184,-0.36665952,-0.026473278,0.3786016
8,0.80416906,0.27934006,-0.36809656,-0.030562283,0.3726287
9,0.8121099,0.26557684,-0.36406422,-0.026825389,0.36970818
10,0.7953588,-0.55823994,-0.08797968,0.14192367,0.16700242
11,0.5447384,-0.41743767,-0.35984918,-0.08965786,0.6256804
12,0.76609445,0.020731488,0.2687935,-0.5805625,0.058023304
13,0.27689847,0.1935315,0.4926647,-0.25158826,0.7614838
14,0.67558956,0.24025227,-0.19131105,0.66883,-0.043864883
15,0.6857744,-0.48517916,-0.29152575,0.16577232,0.42643532
16,0.80612653,-0.58185107,-0.095386185,0.04940742,-0.008351189
17,0.73307174,-0.59538233,0.1470516,0.16569652,-0.2429941
18,0.82659733,-0.5178165,-0.043620404,0.19084477,0.101382665
19,0.6673362,-0.19736384,-0.3440971,-0.40958878,0.47910774
20,0.66852975,-0.19462089,-0.34273633,-0.41170403,0.4777262
21,0.9095748,0.19052087,-0.22532557,-0.28767452,-0.053358708
22,0.82272375,-0.40491846,-0.2021391,0.16874157,0.2997212
23,0.67938876,-0.52512604,-0.16628475,-0.09915223,0.47454372
24,0.74097997,-0.4573408,-0.3288149,0.03852735,0.3635719
25,0.93916523,0.032276176,-0.25038508,0.2279286,-0.047777705
26,0.8772137,-0.40778005,0.07448714,0.15598087,0.18529217
27,0.9115142,0.01100558,0.0825784,0.04917457,-0.39972907
28,0.7919953,-0.60185546,-0.059453335,-0.032857712,0.07680581
29,0.73991823,-0.508877,-0.23142083,0.13030967,0.35075492
30,0.8245802,-0.019291135,-0.30427808,-0.16488445,0.44712776
31,0.82678944,-0.009538349,-0.30272564,-0.1632356,0.44501635
32,0.8259631,-0.009675464,-0.30332124,-0.165342,0.4453646
33,0.856584,-0.40082103,0.17333625,-0.06986117,0.2658576
34,0.80252296,-0.45277867,0.35061264,-0.12222708,-0.11436684
35,0.70746946,-0.5050023,0.35257342,-0.11914183,-0.32551005
36,0.8122064,-0.5722151,0.0313417,0.081857935,-0.07216374
37,0.97416806,0.0036123432,-0.19502108,0.090208516,0.0693741
38,0.96250564,0.048424877,-0.22405753,0.122181036,0.078153156
39,0.9628102,0.046605162,-0.22268106,0.12305025,0.0780792
40,0.9619755,0.07366296,-0.22810854,0.1126433,0.06674432
41,0.24687824,0.13118465,0.5041878,-0.35509744,0.7358955
42,0.25534254,0.14582618,0.50499386,-0.3677944,0.72335565
43,0.8734776,-0.2636238,0.34151053,0.101025306,-0.20175192
44,0.83588797,-0.10651092,0.024379982,0.5370257,-0.03091674
45,0.86170214,-0.35609186,0.24152796,0.20235212,-0.17716022
46,0.82419175,-0.47945732,-0.17962317,0.034456234,0.23953491
47,0.88302916,-0.4047167,-0.029835768,-0.21516241,0.09632668
48,0.9406196,-0.2643126,0.2060305,0.024142535,0.048396844
49,0.72758335,0.12934935,0.57086277,0.35758388,0.011863632
50,0.70611596,-0.45637965,-0.26814008,-0.071294636,0.46490416
51,0.8016921,-0.54843056,0.059389394,0.2301731,0.0026323008
52,0.89951885,-0.2550359,0.18555835,0.19295804,-0.23271807
53,0.8892095,-0.4174173,-0.13301061,0.068364196,0.11271099
54,0.92229116,-0.3486924,0.028459975,-0.15831898,0.04379155
55,0.88975966,-0.29842952,0.1911951,0.039801855,-0.28482935
56,0.93226725,-0.3141658,-0.13537897,-0.015017103,0.11672433
57,0.7311962,-0.6046888,0.14799792,0.2059609,-0.18809623
58,0.8956221,-0.35616273,0.2124634,0.0042691636,-0.16078037
59,0.85237163,-0.32077354,0.29603413,0.15234008,-0.24438336
60,0.8101147,-0.4563024,-0.12636726,0.2688455,0.21738379
61,0.75315565,-0.47078952,0.37043792,-0.10290577,-0.25159475
62,0.9177321,-0.36526656,-0.02931421,0.15302168,-0.008551519
63,0.79464465,-0.5724966,-0.07192729,-0.033730138,0.18567796
64,0.77519464,-0.51635885,-0.064791135,-0.16995867,0.31521878
65,0.69709665,0.4024685,-0.40741777,-0.3376405,-0.26848656
66,0.8652089,0.36883473,-0.1224612,-0.21411449,-0.23352242
67,0.7819901,-0.43275514,-0.15109497,-0.2133413,0.36451367
68,0.84173936,0.45530754,-0.27300227,-0.05460317,-0.08159752
69,0.8968837,-0.279872,0.11927784,0.31927228,-0.03330444
70,0.9780982,-0.11039636,0.17353074,0.025686216,-0.019073399
71,0.90664977,0.34843227,-0.20902497,0.016536819,0.112321965
72,0.93406546,0.22756793,0.14455725,0.098567605,0.21241984
73,0.7350031,-0.36317515,-0.3082704,0.04753823,0.48019144
74,0.86169827,-0.21597439,0.096611924,0.448786,0.009400215
75,0.640804,0.3280951,-0.1216137,0.65948045,-0.17893979
76,0.88840777,-0.42972985,0.13370392,-0.012336772,0.08963832
77,0.7030504,0.25261477,-0.4794472,-0.42829302,0.1691198
78,0.9335707,-0.2916574,0.09682344,0.16929793,0.07311093
79,0.8001384,-0.55610317,-0.050510492,0.06848959,0.2080519
80,0.8176733,-0.25857797,0.3491193,0.24835642,-0.28457427
81,0.47910437,0.19691037,-0.6418136,-0.43629164,0.35973644
82,0.6311099,-0.33039132,-0.33495,0.33254912,0.5193858
83,0.86555743,-0.41210574,0.20500079,0.1523876,-0.12542696
84,0.9355946,0.32664126,0.067955956,0.05792234,-0.09997554
