method,topic_id,top_10_terms
lda_bow,0,"consumer, information, agency, reporting agency, reporting, report, consumer reporting, section, shall, identity"
lda_bow,1,"credit, report, credit report, inquiry, account, information, fraudulent, item, remove, please"
lda_bow,2,"loan, mortgage, would, time, told, home, get, company, call, back"
lda_bow,3,"debt, collection, credit, company, report, never, agency, bill, credit report, call"
lda_bow,4,"account, credit, report, reporting, credit report, information, date, bureau, balance, reported"
lda_bow,5,"credit, reporting, consumer, account, act, law, debt, violation, information, provide"
lda_bow,6,"information, account, theft, identity, identity theft, credit, report, consumer, inquiry, reporting"
lda_bow,7,"payment, credit, late, month, due, paid, account, balance, made, would"
lda_bow,8,"letter, sent, dispute, information, received, credit, complaint, response, address, one"
lda_bow,9,"account, card, bank, money, told, would, called, credit card, call, time"
lsa_tfidf,0,"credit, account, report, payment, credit report, information, time, company, reporting, card"
lsa_tfidf,1,"report, credit report, credit, reporting, information, identity, theft, identity theft, bureau, inquiry"
lsa_tfidf,2,"identity, theft, identity theft, fraudulent, victim, victim identity, bank, fraudulent account, opened, account"
lsa_tfidf,3,"debt, collection, letter, sent, agency, validation, original, received, law, collect"
lsa_tfidf,4,"payment, late, loan, balance, late payment, act, reported, opened balance, reporting, acct opened"
lsa_tfidf,5,"acct opened, opened balance, acct, account acct, balance account, charge, balance, dispute, opened, account"
lsa_tfidf,6,"inquiry, hard inquiry, inquiry credit, hard, loan, add hard, mortgage, act, add, report per"
lsa_tfidf,7,"debt, collection, inquiry, company, credit, hard inquiry, paid, hard, owe, inquiry credit"
lsa_tfidf,8,"card, bank, credit card, reporting, account, credit reporting, fair, violation, act, reporting act"
lsa_tfidf,9,"account, bank, pnc, link, money, loan, fund, please, creditor, original"
